,full_text
12,orang2 benci kurikulum merdeka karena mereka terbiasa nyaman dengan heavily feminized female-coded education dan akan tersingkirkan secara sistematis dengan more male-coded education https://t.co/s7EAbArfIT
13,Kurikulum Merdeka resmi menjadi kurikulum nasional. Berikut hal-hal yang perlu diketahui tentang penerapannya di PAUD SD SMP SMA dan yang Sederajat. Via @detik_edu https://t.co/Q8CFx0rGJJ
14,Iya saya tuliskan dalam opini 19/3/2024 Kurikulum Merdeka untuk siapa? Semoga apa yang saya tulis dianggap masukan positif. https://t.co/zIX9pB1pVA
15,Yang bikin terharu ada banyak guru2 dipelosok yang sudah mengunakan #kurikulumMerdeka dan banyak cara di gukanan https://t.co/YXPPjpJuRb
16,#SahabatEdu hari ini (27/3) Kemendikburistek resmi meluncurkan Permendikbudristek Nomor 12 Tahun 2024 tentang Kurikulum Pada Pendidikan Anak Usia Dini Pendidikan Dasar dan Pendidikan Menengah loh! #KurikulumMerdeka #KurikulumNasional #MerdekaBelajar https://t.co/km7kZou3eA
17,Rabu kmrin menghadiri peresmian #KurikulumMerdeka sbg kurikulum nasional. Panjang lebar memang penjelasannya tapi yg bisa disimpulkan tujuan #KurikulumMerdeka adalah membuat guru dan murid senang belajar! https://t.co/2OYhYd6EUs
18,Hai guys hari ini ternyata ada yang spesial! Kurikulum Merdeka sekarang telah resmi jadi Kurikulum Nasional Satuan Pendidikan di Indonesia lho! [ UTAS ] #KurikulumMerdeka https://t.co/N7Ih7QHdcH
19,DPR RI menilai ketidaksiapan guru-guru di daerah masih menjadi kendala penerapan Kurikulum Merdeka secara nasional. Via @detik_edu https://t.co/IhgTcTn1fR
20,Gak perlu pindah negara ke Jerman atau Australia. Indonesia sekarang punya kurikulum yg fokus pada materi esensial sehingga anak2 bisa belajar dg lebih mendalam. Insyaallah hari ini Kurikulum Merdeka akan ditetapkan sebagai kurikulum nasional. Simak di: https://t.co/SfmMycbw6R https://t.co/Ly3t5CQpBn
21,haii akuu nabilll atau biel juga boleh bolehh aku mau carii temen baruu #studytwt #AMBISVERSE ⭐___⭐ [] 6teen (2nd year of shs) otw kelas 12 sihh [] enfj!! [] kurikulum merdeka (soshum ) [] '25 calon maba uns aamiin help [like] or ↻ [rt] thank you!
22,Ini adalah kegiatan sosial Alisha di lapangan dalam implementasi #KurikulumMerdeka Kerja sosial dan bersosialisasi 20 jam di panti dan sharing tentang Internet Sehat untuk Remaja di acara bukber di rumah https://t.co/WFXRir49ZI
23,Resmi! Kurikulum Merdeka diberlakukan untuk sekolah se-Indonesia di jenjang PAUD pendidikan dasar dan pendidikan menengah. Via @detik_edu https://t.co/klz9dLITd7
24,Swt saat prnh mngawas plksanaan ANBK yg 1 wilayah dgn tmpt mengajar. Selesai tes masih di lab komputer saya dicegat rombongan peserta yg notabennya siswi Pak katanya kurikulum merdeka itu kita bisa memilih mapel kok kita gak milih ya? (Tengok kiri-kanan). Begini nak..
25,emg bener sma yg kurikulum merdeka kebanyakan ditolak PTN??
26,kurikulum merdeka https://t.co/OKc1Xs7xAE
27,Kurikulum Merdeka diresmikan untuk sekolah se-Indonesia. Tapi bagaimana nasib sekolah yang belum menerapkan Kurikulum Merdeka? Via @detik_edu https://t.co/7Cs8VtQihk
28,Jujur aja. Kurikulum merdeka banyak orang yang diluar fakultas dan kampus masuk ke kelas banyak yang ngangonangngong di mata kuliah sejarah. Ada yang ketawa-ketawa ga ngedengerin dosen bahkan tidur. Sekadar disuruh bertanya saja ada yg tidak bisa. Apalagi presentasinya copas https://t.co/Sz7i3kAiz9
29,anjg co di revisi?????? tbtb ada yg jd biru dr merah yg daftar itb dr sekolah kurikulum merdeka..
30,@harrysofian @Kemdikbud_RI Terbitan erlangga sih ada kelas X kurikulum merdeka wkwkwkkw Di terbitan kemdikbud ada teori ksatria yg kata guru saya basisnya dr wangsakerta PRBN https://t.co/mbM6gAXVxh
31,lagi bahas kurikulum yang berubah-ubah yang dibahas kurikulum merdeka yang disalahin tetap aja Pak Anies wkwk https://t.co/82jB46LzRd
32,#SahabatEdu Kurikulum Merdeka telah resmi menjadi kurikulum nasional untuk sekolah se-Indonesia. #KurikulumMerdeka #MerdekaBelajar #KurikulumNasional https://t.co/dT6mjexF6U
33,karena #KurikulumMerdeka guru2 bisa punya keleluasaan mengajar. bisa jadi lebih kreatif dan inovatif bikin suasana belajar yg menyenangkan! contohnya ini kelas bahasa Inggris ada pantomimnya! seru! https://t.co/mCULqnfuK6
34,Yoshita dan gue adalah saksi hidup satu sama lain dalam menghadapi kesulitan KURIKULUM MERDEKA https://t.co/5lqhmnFfL5
35,Permendikbud tentang Kurikulum PAUD Jenjang Dasmen hari ini diluncurkan menandai resminya penetapan Kurikulum Merdeka sebagai kurikulum nasional. Permen dan Naskah Akademiknya bisa diunduh melalui tautan: https://t.co/BTXSC0KFdN Kenapa judul permennya bukan Kurikulum 
36,Artikel pendek saya di https://t.co/QdTaS8QUWM: Suara jernih dari lapangan pendidikan https://t.co/EVNEAfVZeb Selamat membaca. #opini #kompas #pendidikan #kurikulum #kurikulummerdeka @zanatul_91 @P2G_ID @Satriwan_Salim @populationBRIN Sebuah utas.
37,Katanya ITB gaa nerima sekolah yang pake kurikulum merdeka yaa? Kasian siswanya dong mereka kan sekolah karena kurikulumnya udah ditetapin dari pemerintah kalo beneran ini jahat banget siih bayangin 3 tahun sekolah dengan harapan keterima SNBP tapi gak lolos gara2 ini 
38,eh rumor² yg katanya itb ga nerima siswa yang pake kurikulum merdeka beneran ga si? soalnya sekolah aku tuh masi pake kurtilas dan tahun ini ada 1 yang keterima di itb
39,Besok Rabu 27 Maret 2024 hari bersejarah Kurikulum Nasional 2024 dirilis. Yang menantikan naskah akademiknya pantau mulai besok. #kurikulummerdeka #kurikulumnasional
40,Setuju. Nggak usah jauh-jauh yang katanya mau ada kurikulum baru. Kurikulum itu diuji coba PALING SEDIKIT 10 TAHUN. Coba lihat kurikulum 13. 10 tahun uji coba aja MASIH ADA YANG MALPRAKTEK. Kurikulum merdeka belum merata persebarannya bahkan di satu sekolah bisa cuma +
41,Ga pernah bosan gue omongin ke orang2 kalo nongkrong : Kurikulum merdeka itu luxury belief 
42,need joki buat capaian pembelajaran kurikulum merdeka materi prakarya fase E #zonauang #zonaba
43,maaf it s just so unfair if you add kurikulum merdeka in snbp 2024
44,Mari sama sama kita saksikan besok peluncuran permendikbudristek tentang kurikulum merdeka. Katanya naskah akademiknya juga sudah ada. Akhirnya . Walau kebalik yah gapapa daripada gak ada 
45,Jadi Kamis kemarin itu tanggal 27 Maret 2024 Permendikbudristek No.12 Tahun 2024 #KurikulumMerdeka secara resmi ditetapkan menjadi Kurikulum Nasional https://t.co/i99BgouoG2
46,#SahabatEdu wajib tonton video ini biar nggak miskonsepsi lagi!! Jadi melakukan kegiatan P5 nggak harus selalu mengeluarkan uang. Dengan memanfaatkan bahan-bahan yang ada di sekitar ternyata bisa loh dijadikan P5. Mantul banget kan #P5 #KurikulumMerdeka #MerdekaBelajar https://t.co/1V4ScCrAqf
47,Inilah produk merdeka belajar selain kurikulum merdeka dibuat terbalik dicoba dulu naskah akademiknya menyusul juga menghasilkan para guru yang anti ilmu anti baca buku dan tidak mau dikritik oleh selain guru. Saya makin yakin kurikulum ini punya daya rusak parah.
48, kurikulum merdeka dianggap jelek karena cara belajarnya kurang efektif. yaila ga cmn kurmer doang sekolah2 lain juga banyak gitu kok. cuman blm keliatan aja
49,Apa benar karena kurikulum merdeka? Atau karena skill issue?
50,Yuk saksikan penetapan Kurikulum Merdeka secara nasional bareng Mas Menteri hari ini Rabu 27 Maret pkl 10.00 WIB di https://t.co/0YLsjqGxKI Mari terus bergerak bersama meningkatkan kualitas pembelajaran bagi semua murid #kurikulummerdeka #merdekabelajar https://t.co/1w22CydsZf
51,Berikan Dampak Positif B Hetifah Dukung Kurikulum Merdeka Dilanjutkan Sebagai Kurikulum Nasional. Saya dukung penerapan Kurikulum Merdeka utk terus dilanjutkan sebagai Kurikulum Nasiona terbukti berikan dampak positif dalam penerapannya selama beberapa tahun belakangan ini https://t.co/Uque447cro
52,Sejak diluncurkan pada tahun 2022 kini lebih dari 300 ribu satuan pendidikan telah menerapkan Kurikulum Merdeka secara sukarela. Data Asesmen Nasional tahun 2021-2023 menunjukkan dampak positif penerapan Kurikulum Merdeka. Lebih lanjut hasil Rapor Pendidikan tahun 2023 
53,@sbmptnfess sekolah aku karena kurmer yang daftar itb merah semua bahkan eligible 1 juga yang rata rata 93 merah tbtb hari inii jadi biru sampe satu sekolah shock!! ternyata sekolah temenku yang kurikulum merdeka juga dari merah tbtb biru gtau knp?!
54,#SahabatEdu ternyata murid yang memiliki keterbatasan fisik bukanlah halangan untuk mereka mendapatkan pembelajaran yang layak. Hal ini dibuktikan oleh Ibu Guru Ernisa Supiah guru bahasa Inggris di SLBN Cicendo Kota Bandung. #KurikulumMerdeka #MerdekaBelajar https://t.co/MhjuA6golt
55,KURIKULUM MERDEKA BUTUH KEMERDEKAAN
56,Orang macem gini makin gajelas aja salty sama hal-hal yang gak perlu. Sirik kh? Perlu gw jelaskan ini pelajaran gw waktu SD ya kalo lo bukan makhluk kurikulum merdeka itu. Nyebut barang dengan sebutan merk itu lazim kok kalau merknya sudah sangat umum. https://t.co/5wmXwPJMOl https://t.co/T7Buo6dmka
57,@itbfess lah wong kurikulum merdeka aja msih kelas 11??
58,itu yang keterima itb dari merah jadi biru cuma kurikulum merdeka ya??
59,Karena susah ngajak warga X buat optimis aku mau optimis sendirian Berdasar data hasil AN 2021 - 2023 (dua tahun delta) sekolah2 yg menggunakan #KurikulumMerdeka peningkatan skor literasi dan numerasinya lebih tinggi drpd sekolah2 yg masih pake K-13. #OptimisBerdasarData https://t.co/DjfEaU4qp0
60,Terharuuuuu melihat bagaimana para guru secara kreatif dan inovatif menerapkan #KurikulumMerdeka https://t.co/SmJElIE7S2
61,Kurikulum Merdeka: Kurikulum yang Sesuai dan Menyesuaikan Zaman https://t.co/GwvT9NWUQa
62,Seseru ini kurikulum merdeka Hal yang ingin gw lakuin pas jadi guru fisika SMP dan SMA beberapa tahun lalu. Tapi ga bisa karena materi kurtilas itu padat Nb: poto tugas anak SD kelas 4 #kurikulummerdeka https://t.co/Q4QfZmAt5L
63,Awal kurikulum merdeka: wahh keren bangett ada projek. Akhirnya aku ada wadah bebas berekspresi dan bisa sosialisasi sama temen kelas lebih deket lg Pas projek: walawee lanjiaoo inimah kerja kelompok biasa ttp gua yg ngerjain sndiri pantek pantek mati aja lu semua
64,KURIKULUM MERDEKA BERAAAAKKKKKKKKKKKKKKKK
65,HARI INI Saksikan Live di YouTube @Kemdikbud_RI https://t.co/bsPJLhMC34 #KurikulumMerdeka https://t.co/L1hVfSTLZL
66,Hari ini postingan nya mbak Fina di IG tentang Amplop Cinta Pancasila. Takjub bahwa Pancasila bisa disampaikan dengan cara yang kreatif dan seru seperti ini ️ saluuuut. Sepertinya ini contoh praktik baik implementasi #KurikulumMerdeka ya ️ https://t.co/tyjYXT5lj2
67,what a kurikulum merdeka does to mf
68,I've been yapping about Kurikulum Merdeka since day 1 why did no one compliment my empathy 
69,300.000 sekolah menggunakan kurikulum merdeka secara sukarela. Kalau ada himbauan-himbauan vertikal itu hanya sensasi saja.
70,@liminalmilataka Coba baca ini deh kak. Programnya yg ingin bikin murid lebih kreatif dan kritis dengan fokus pada bahan ajar yg lebih spesifik emang bagus. Cuman kenyataan di lapangannya masih problematik dan justru mempersulit baik murid atau guru itu sendiri. https://t.co/AjkKc8jFhO
71,Melakukan praktik baik salah satu contoh implementasi dan praktiknya dilakukan oleh Ibu Guru Inge di video berikut. Guru dan murid belajar dengan gembira bersama #KurikulumMerdeka https://t.co/wxvioS9vep
72,@liminalmilataka Kurikulum merdeka konsepnya bagus tapi harus urut berdasarkan umur. Misal : kelas 1 membuat kapak perimbas kelas 2 belajar menanam kelas 3 belajar beternak kelas 4 belajar jualan kelas 5 belajar desain bangunan kelas 6 belajar pemetaan dst. Lulus SMA siap dikirim ke Mars
73,really curious apa pertimbangannya itb nolak snbp dari sekolah yang nerapin kurikulum merdeka
74,sekolahku angkatan pertama yang ikut kurikulum merdeka di jogja dari 101 anak eligible yang masuk snbp cuma 16 sekolah lain di kabupatenku yang jadi percobaan kumer dari 100 siswa yang eligible cuma 3 yang lolos bener bener efek beda kurikulum
75,@wickedbunnies @VindhTR @garinp4 Nah jeleknya Kurikulum Merdeka tuh ini kalo outputnya bagus yg di mention itu kurikulumnya kalo outputnya jelek yg disalahin gurunya. Kurikulum apaan kek gitu
76,iya gue jg sebel sm kurikulum merdeka masa iya s1 bener bener teori doang GA MEGANG ALAT TES SAMA SEKALI KRN KATANYA GA BOLEH???? dikira semua org punya duit buat lanjut profesi kali ye
77,Kementerian Pendidikan Kebudayaan Riset dan Teknologi (Kemendikbudristek) resmi menetapkan Kurikulum Merdeka sebagai Kurikulum Nasional. Peresmian kurikulum nasional ini diamanatkan dalam Peraturan Mendikbudristek Nomor 12 Tahun 2024. https://t.co/wxGAiBGydV #pendidikan https://t.co/SriVjKICdh
78,Kurikulum Merdeka Sah Jadi Kurikulum Nasional Diterapkan dari PAUD hingga SMA Seluruh Indonesia https://t.co/GnxzWkn9Eo #TempoNasional
79,Disdik Solo Pastikan Sekolah di Kota Solo Sudah Terapkan Kurikulum Merdeka https://t.co/g87WsPhUMU https://t.co/YNRZG0EpMx
80,apa bener snbp nolak kurikulum merdeka??
81,Kemendikbudristek Resmi Tetapkan Kurikulum Merdeka Jadi Kurikulum Nasional. hokben kyla snbt okin snbp zara https://t.co/xOBbtdjxUu
82,Kurikulum merdeka nih pake konsep merdeka yang mana sih sebenernya? Separah itu sampe kacaunya
83,Kemendikbudristek Tetapkan Kurikulum Merdeka Jadi Kurikulum Nasional https://t.co/BonYMuKvSa
84,Kemendikbudristek Resmi Tetapkan Kurikulum Merdeka Jadi Kurikulum Nasional. Sandra Dewi Yusril Unknown Vietnam walausenyap tapimantau https://t.co/6bP3njUNpV
85,Masalahnya di kurikulum merdeka pendekatan pendidikan primer SD bablas ditetapkan di sekunder SMP Silahkan bedah materi Gymnasium IB A-Level. Bandingkan dengan CP di Kur. Merdeka. Siswa sudah butuh daging tapi tetap diberi mpasi. Dikerdilkan.
86,Dosen gw pas pendidikan profesi kemaren pernah ngomong kalo kurikulum merdeka itu emang outputnya buat nyiptain pekerja karena ya sesuai sama basic menterinya dari mana
87,Di acara peresmian yang dihadiri Mas Menteri Nadiem Makarim dalam pemaparannya menyebutkan keberhasilan #KurikulumMerdeka meningkatkan skor literasi murid baik di sekolah tertinggal maupun non-tertinggal https://t.co/oY4qMa89bh
88,Semoga kurikulum merdeka musnah. Bingung sm eligible nya
89,@zanatul_91 Dr awal mncul ni program kampus merdeka/kurikulum merdeka udh g stuju tp gen z nya udh jd pengaggum si nadiem jd syulit kali menyadarkam gen z yg anak kampus skrg pd gila magang yg akhirnya untuk rekrut kartap ny makin kecil exploitasi berkedok magang
90,Kemendikbudristek resmi menerapkan Kurikulum Merdeka menjadi kurikulum nasional mulai tahun ini. Keputusan itu berlaku melalui penerbitan Permendikbudristek Nomor 12 Tahun 2024 tentang Kurikulum pada Pendidikan Anak Usia Dini Pendidikan Dasar dan Pendidikan Menengah. https://t.co/jD3D9f9Okd
91,Kurikulum merdeka ceunah https://t.co/zK2NGqGhCC
92,Selama imajinasinya adalah kurikulum nasional selama itu pula pendidikan Indonesia takkan pernah maju sekalipun memakai kurikulum (yang katanya) merdeka. Itu!
93,kurikulum merdeka is such a mess damnnn bring back kurtilas again!
94,Nadiem menyebut Kurikulum Merdeka resmi menjadi kurikulum nasional setelah keluarnya Permendikbudristek No. 12 Tahun 2024. https://t.co/r7IhYYXBl7
95,#KIRANprogress saban hari kerjaan kurikulum merdeka cuman kerpok kerpok dan kerpok . GAPAPA aku senang yez tidak terbebani jugassiiihhh kalo kerpok karna ada temen temennya anyway akuuu lagi kerpok ppkn &amp; ipaaa! https://t.co/CAImY6pqJO
96,Kunci Jawaban IPA Kelas 9 SMP Halaman 157-158 Semester 2 Kurikulum Merdeka Mari Uji Kemampuan Kalian: Berikut kunci jawaban Mari Uji Kemampuan Kalian IPA kelas 9 SMP halaman 157-158 Kurikulum Merdeka membahas materi pewarisan sifat dan bioteknologi https://t.co/tIrcEfMFXT
97,Namun ternyata ada 5 fakta yang harus kamu ketahui lho tentang Kurikulum Merdeka. Apa saja ya? Yuk simak selengkapnya pada grafis di atas #KurikulumMerdeka #MerdekaBelajar #KurikulumNasional https://t.co/jsZLnd5bMK
98,Kurikulum Merdeka Resmi Menjadi Kurikulum Nasional 20 Persen Satuan Pendidikan Belum Menerapkannya https://t.co/IMvEcWUz9a #TempoTekno
99,Sepakat. Kurikulum Merdeka GAJELAS. Terlalu Nggradrah kemana2. Ga fokus. Banyak simulasi2. Jdi kompetensi siswa memahami materi terbengkalai. Konsep2 dasar mrk tdk kuasai.
100,@elonmusk @makarimnadiem @nadiemmakarim @MasMenteri a teacher prefer exam national back I am actually happy kurikulum merdeka https://t.co/YhcpL68h4E
101,Hari ini kurikulum merdeka sdh menasional hadir tuk mewujudkan kebahagian belajar di ekosistem sekolah. Yg rindu akan naskah &amp; kajian akademiknya yg nyari2 kajiannya sjk awal gak usah khawatir gak perlu repot buat bikin kajian sendiri. Sila cari disini https://t.co/HK8EDUlgaN
102, Kurma (kurikulum merdeka) buat siapa? manisnya diluar dalemnya biji doang kata seorang siswa yang paham keluh kesah gurunya
103,Testimoni keberhasilan implementasi peningkatan literasi juga dipaparkan oleh perwakilan 5 pengajar dari beberapa Kabupaten Indonesia yang berhasil meningkatkan tingkat literasi murid di daerah masing-masing #KurikulumMerdeka https://t.co/GfkgJxDFoY
104,SETUJU kurikulum merdeka sangat tidak jelas‼️
105,Sah! Kurikulum Merdeka Ditetapkan Jadi Kurikulum Nasional https://t.co/W9xvixncdd
106,Kemendikbudristek Terbitkan Payung Hukum Implementasi Kurikulum Merdeka. Hyeri sohee Vina KISS OF LIFE Okin BABY MONSTER https://t.co/Nkx4yX6xDd
107,Kacauu kurikulum merdeka kurikulum tergajelas
108,Karakteristik Kurikulum Merdeka yang Disebut-sebut Bersifat Fleksibel https://t.co/cCE7BFgCuB
109,Kurikulum Merdeka Resmi Diberlakukan Begini Penjelasan Menteri Nadiem https://t.co/JauoKGc1K3
110,Fuck Kurikulum Merdeka
111,Indahnya kurikulum merdeka. Presidennya sibuk kampanye Menterinya ngilang bak ditelan aplikasi ojol. Rektornya berlomba ngejar proposal penelitian . Mahasiswanya di jual ke luar negeri siswanya bacok-bacokan tiap malam minggu ponpesnya menghamilkan santriwati. ndasmu etik.
112,Kemendikbudristek Tetapkan Kurikulum Merdeka Jadi Kurikulum Nasional https://t.co/yuQXBF9RUx
113,Terlepas dari keluhannya kak Robby ini murid Kurikulum Merdeka yang berarti mau eksplorasi memanfaatkan teknologi cari2 materi. Kepekaan yg mantul. Tapi ini gurunya ngeluh pas ngajar jadi muridnya bisa tau sampe ke dana bos? Hhhmmm
114,Dengan adanya Permendikbudristek ini diharapkan dapat meningkatkan kualitas pendidikan tanpa pandang kondisi perekonomian siswa dan orang tua fisik dan mental. #KurikulumMerdeka #KurikulumNasional #MerdekaBelajar
115,13 Alasan Mengapa Kurikulum Merdeka blm layak menjadi kurikulum nasional. Ini alasan lengkapnya. @PBPGRI_OFFICIAL @AlphaARachman @KSPgoid @BPIPRI @Darmaningtyas @Kemdikbud_RI https://t.co/7RKT9As3Ra
116,Jadi kalau kata mas Menteri @NadiemMakarim : #KurikulumMerdeka tujuannya membuat guru dan murid senang untuk belajar https://t.co/GeHHEJ4NWy
117,inget yg menentukan keberhasilan #KurikulumMerdeka dan peningkatan kualitas pendidikan bukan cuma guru lho tapi kita semua.. kolaborasi dan partisipasi dari berbagai pihak mulai dari pemda sekolah sampai orang tua. ️ https://t.co/sGvjMCS55D
118,Mayoritas Sekolah di Wonogiri Sudah Gunakan Kurikulum Merdeka https://t.co/oK6xt6v141 https://t.co/ylmKhV2lbP
119,Info jasa bikin rpp dan modul ajar kurikulum merdeka sebutin feenya #jokitugas #tugaskuliah #zonauang #zonajajan #zonaBU
120,Simak kunci jawaban Bahasa Indonesia kelas 9 halaman 120 tentang Tentukan pokok pikiran paragraf dalam tulisan tentang pajak. #TribunKaltim #KunciJawaban #KurikulumMerdeka https://t.co/P6SOiVXySx lewat @tribunnews
121,Kurikulum Merdeka telah ditetapkan sebagai kurikulum nasional. Hal itu dituangkan dalam Permendikbudristek Nomor 12 Tahun 2024. #Pendidikan #Kurikulum #MedcomId https://t.co/59xr2CQKCS
122,Buat yang ga punya IG bisa lihat videonya di sini yah praktik baik implementasi #KurikulumMerdeka tentang cara kreatif menyampaikan pengetahuan Pancasila ️ https://t.co/Lq2K7TMzdH
123,Kurikulum Merdeka Resmi Jadi Kurikulum Nasional Yuk Kenalan Lebih Jauh!...https://t.co/pbVanOByl5
124,BAHAGIA BELAJAR DI KURIKULUM MERDEKA #lawanmiskonsepsi https://t.co/FcNv5r36SU
125,Dan setelah sebelumnya menjadi Kurikulum Opsional yang diimplementasikan oleh kurang lebih 300 ribu satuan sekolah pada 27 Maret 2024 #KurikulumMerdeka resmi menjadi Kurikulum Nasional yang dituangkan dalam Permendikbudristek No 12 tahun 2024
126,Kurikulum Merdeka Resmi Diberlakukan Begini Penjelasan Menteri Nadiem https://t.co/JauoKGbtUv
127, kurikulum merdeka gak diajak bruakakak
128,Di dalam kelasnya Ibu Ernisa membuat pengalaman belajar yang seru ke murid-murid penyandang tuli melalui pantomim. Gimana sih ceritanya? Yuk tonton videonya sampai selesai! #KurikulumMerdeka #MerdekaBelajar
129,mau bgi bbrp catetan kls 10-12 tpi gk rapi anjayy mls lah aku trss kurikulum merdeka sama k-13 materinya beda atau sama?
130,Hasil pendidikan dari kurikulum merdeka ? Anak sekolah sekarang semakin tidak terarah karena posisi pendidik lemah dan dilemahkan serba salah.
131,Kemendikbudristek tetapkan Kurikulum Merdeka jadi kurikulum nasional https://t.co/vUK8aQ2w8g https://t.co/cRtijrbGZi
132,keadilan bagi seluruh rakyat Indonesia kecuali anak kurikulum merdeka
133,Penerapan Kurikulum Merdeka Menjadi Kurikulum Nasional di 2024 https://t.co/qQNdVlD3uV
134,Langkah Maju Dindik Jatim Kembangkan Implementasi Kurikulum Merdeka di SMK https://t.co/0KppHnma1z
135,Legislator mengatakan masalah tata kelola guru akan menjadi sandungan penerapan Kurikulum Merdeka https://t.co/bf0ibxjBV0
136,i dont get why people are bashing kurikulum merdeka.. it's a good curriculum bro :/ much better than k13 i would say.
137,@VindhTR Timeline Kurikulum Merdeka: Kelas 1: jualan nyari laba Kelas 2: belajar nyatet hasil jualan ke jurnal Kelas 3: belajar jurnal umum dan inventory Kelas 4: menghitung HPP Kelas 5: Bikin ledger Kelas 6: bikin lapkeu Abis lulus langsung kasih toga dan magang di Big4 / multi 
138,@ihave3look @sbmptnfess kurikulum merdeka
139,Harus lolos dong .. kan percontohan. Apalagi mereka golongan sukarela menyambut kurikulum merdeka.
140,Kurikulum Merdeka? Merdeka muridnya dari belajar suka suka aje karena dosen/guru sibuk rapat n ngerjain paper work yg nambah nambah terus
141,ini kurikulum merdeka sistem eligiblenya gimana deh? kira-kira ditentuin sesuai jurusan yang dipilih atau gimana ya
142,Kurikulum Merdeka Resmi Diberlakukan untuk Seluruh Sekolah di Indonesia! https://t.co/cp2kXPVtg5
143,Kurikulum merdeka yg tujuan nya rusak moral pelajar. hasil nya cukup berhasil dengan banyak nya kekerasan terhadap pelajar lain nya
144,Sah! Kurikulum Merdeka Resmi Jadi Kurikulum Nasional https://t.co/HUQCNgI7aM
145,Jawaban 3.1 Implementasi Kurikulum Merdeka dalam Layanan Bimbingan Konseling Bagian 1 Pintar Kemenag: Berikut ini merupakan kumpulan soal beserta kunci jawaban Pelatihan Bimbingan dan Konseling Modul 3.1 Implementasi Kurikulum Merdeka dalam Layanan Bi https://t.co/vkshpswB0g https://t.co/57FguTqn2j
146,@Captein_Bosgenk Eaaa....klo gak scandal ngesex bullly n mabok dll. Lanjutkan Siswa/i Emas.jadikan kurikulum Merdeka sbgai acuan buat melakukan hal2 yg bikin kelen Merdeka.kalian butuh makan siang gratis kyknya gak butuh Pendidikan Gratis ea khaan Oke Gas....
147,Kemendikbudristek: Kurikulum Merdeka Resmi jadi Kurikulum Nasional https://t.co/rCHJJghBbW via @nawacit4
148,KTSP sejauh ini masih kurikulum terbaik... Meskipun penuh dengan kekurangan. (Kurikulum Merdeka so far is the worst; it's a corporate slave factory disguised as a syllabus)
149,Saya menjual LKS Gegladhen Basa Jawa Kelas 1 2 4 SD/MI Semester 1 Kurikulum Merdeka seharga Rp12.000. Dapatkan produk ini hanya di Shopee! https://t.co/zby17xBFsi #ShopeeID https://t.co/TDIsoyOeZD
150,Kemendikbudristek Resmi Tetapkan Kurikulum Merdeka Jadi Kurikulum Nasional. mahfud md bawaslu marshanda grup b thailand towel https://t.co/JuXqEcO3pF
151,Latihan Soal PTS/UTS PLH Kelas 4 SD Semester 2 Kurikulum Merdeka Beserta dengan Kunci Jawaban: Berikut adalah latihan soal PTS/UTS PLH kelas 4 SD semester 2 Kurikulum Merdeka beserta dengan kunci jawaban. https://t.co/YmOs0ciJSR
